# removeFirst - generated by JMHRunner
# category	ArrayList	ArrayList_err	ArrayDeque	ArrayDeque_err	LinkedList	LinkedList_err	ValRecArrayBackedList	ValRecArrayBackedList_err
10	1.392443e+01	1.346477e+00	1.416588e+00	2.392595e-01	3.748370e+00	3.075444e-01	1.857145e+00	1.041743e-01
100	1.885520e+01	1.836229e+00	1.467974e+00	2.749472e-01	4.205514e+00	8.643476e-01	2.265458e+00	5.686636e-01
10000	2.943161e+02	2.083573e+01	1.672356e+00	4.851391e-01	3.827865e+00	4.100240e-01	2.270315e+00	1.325156e-01
1000000	3.191950e+05	1.761533e+04	1.581544e+00	1.311159e-01	3.852437e+00	2.781509e-01	2.285393e+00	2.519247e-01
