# iterate - generated by JMHRunner
# category	ArrayList	ArrayList_err	ArrayDeque	ArrayDeque_err	LinkedList	LinkedList_err	ValRecArrayBackedList	ValRecArrayBackedList_err
10	6.159452e+00	5.248765e-01	9.877792e+00	1.166176e+00	6.613850e+00	4.593021e-01	1.122395e+01	1.052052e+00
100	2.263788e+01	1.107166e+00	4.077026e+01	3.587308e+00	1.175881e+02	3.485525e+00	1.562007e+02	6.399966e+00
10000	1.703071e+03	1.703737e+02	3.597670e+03	3.591015e+02	1.369252e+04	3.269414e+02	1.637569e+04	8.292235e+02
1000000	1.752860e+05	2.729709e+04	4.426714e+05	2.459155e+04	2.623276e+06	4.934566e+05	1.727822e+06	7.054941e+04
