# removeLast - generated by JMHRunner
# category	ArrayList	ArrayList_err	ArrayDeque	ArrayDeque_err	LinkedList	LinkedList_err	ValRecArrayBackedList	ValRecArrayBackedList_err
10	2.469681e+00	1.447020e-01	1.406546e+00	1.030435e-01	4.552257e+00	8.627675e-01	1.713942e+00	1.385108e-01
100	2.467391e+00	1.325432e-01	1.414658e+00	9.511625e-02	3.826131e+00	4.458264e-01	1.689779e+00	1.085964e-01
10000	2.446534e+00	1.382394e-01	1.402604e+00	9.404209e-02	3.942725e+00	3.141514e-01	2.199303e+00	1.597960e-01
1000000	3.112683e+00	1.593557e+00	1.510433e+00	8.890757e-02	4.159308e+00	6.532335e-01	2.252251e+00	1.641490e-01
